TIME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,day_of_week,weeekday,date,month,TEMPRETURE,DEW,PRECIPITATION,RH,WIND SPD,WIND DIR
0,0,0,0,0,0,0,0,0,1,6,0,31,12,20,12,0,71,5.8,-1
0,0,0,0,0,0,0,0,0,1,6,0,31,12,20,12,0,71,5.8,-1
0,0,0,0,0,0,0,0,0,1,6,0,31,12,20,12,0,71,5.8,-1
0,0,0,0,0,0,0,0,0,3,6,0,31,12,20,12,0,71,5.8,-1
10,0,0,0,0,0,0,0,0,1,6,0,31,12,13,-4,0,46,9.2,300
10,0,0,0,0,0,0,0,0,0,6,0,31,12,13,-4,0,46,9.2,300
10,0,0,0,0,0,0,0,0,1,6,0,31,12,13,-4,0,46,9.2,300
10,0,0,0,0,0,0,0,0,1,6,0,31,12,13,-4,0,46,9.2,300
11,0,0,0,0,0,0,0,0,0,6,0,31,12,14,-5,0,41,8.1,310
11,2,0,0,0,0,0,2,0,0,6,0,31,12,14,-5,0,41,8.1,310
11,0,0,0,0,0,0,0,0,0,6,0,31,12,14,-5,0,41,8.1,310
11,0,0,0,0,0,0,0,0,1,6,0,31,12,14,-5,0,41,8.1,310
11,0,0,0,0,0,0,0,0,0,6,0,31,12,14,-5,0,41,8.1,310
12,1,0,0,0,0,0,1,0,0,6,0,31,12,15,-3,0,44,5.8,-1
12,0,0,0,0,0,0,0,0,0,6,0,31,12,15,-3,0,44,5.8,-1
12,0,0,0,0,0,0,0,0,0,6,0,31,12,15,-3,0,44,5.8,-1
12,0,0,0,0,0,0,0,0,0,6,0,31,12,15,-3,0,44,5.8,-1
13,0,0,0,0,0,0,0,0,0,6,0,31,12,14,-4,0,44,9.2,320
13,1,0,0,0,0,0,1,0,0,6,0,31,12,14,-4,0,44,9.2,320
13,0,0,0,0,0,0,0,0,0,6,0,31,12,14,-4,0,44,9.2,320
14,0,0,0,0,0,0,0,0,1,6,0,31,12,15,-3,0,44,9.2,320
14,1,0,0,0,0,0,1,0,1,6,0,31,12,15,-3,0,44,9.2,320
14,1,0,0,0,0,0,1,0,2,6,0,31,12,15,-3,0,44,9.2,320
14,0,0,0,0,0,0,0,0,2,6,0,31,12,15,-3,0,44,9.2,320
14,0,0,0,0,0,0,0,0,0,6,0,31,12,15,-3,0,44,9.2,320
14,2,0,0,0,0,0,2,0,3,6,0,31,12,15,-3,0,44,9.2,320
15,0,0,0,0,0,0,0,0,2,6,0,31,12,15,-4,0,42,11,5 300
15,0,0,0,0,0,0,0,0,0,6,0,31,12,15,-4,0,42,11,5 300
15,0,0,0,0,0,0,0,0,3,6,0,31,12,15,-4,0,42,11,5 300
15,0,0,0,0,0,0,0,0,0,6,0,31,12,23,17,0,78,3.5,-1
15,0,0,0,0,0,0,0,0,1,6,0,31,12,23,17,0,78,3.5,-1
15,1,0,1,0,0,0,0,0,0,6,0,31,12,23,17,0,78,3.5,-1
16,0,0,0,0,0,0,0,0,1,6,0,31,12,23,15,0,71,8.1,300
16,0,0,0,0,0,0,0,0,0,6,0,31,12,23,15,0,71,8.1,300
16,0,0,0,0,0,0,0,0,0,6,0,31,12,23,15,0,71,8.1,300
16,0,0,0,0,0,0,0,0,0,6,0,31,12,23,15,0,71,8.1,300
17,0,0,0,0,0,0,0,0,3,6,0,31,12,23,14,0,68,9.2,270
17,0,0,0,0,0,0,0,0,0,6,0,31,12,23,14,0,68,9.2,270
17,0,0,0,0,0,0,0,0,2,6,0,31,12,23,14,0,68,9.2,270
18,0,0,0,0,0,0,0,0,2,6,0,31,12,22,14,0,71,6.9,250
18,0,0,0,0,0,0,0,0,0,6,0,31,12,22,14,0,71,6.9,250
18,1,0,1,0,0,0,0,0,0,6,0,31,12,22,14,0,71,6.9,250
18,0,0,0,0,0,0,0,0,1,6,0,31,12,22,14,0,71,6.9,250
18,0,0,0,0,0,0,0,0,2,6,0,31,12,22,14,0,71,6.9,250
