Time,Temperature (° F),,,Dew Point (° F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (Hg),,,Precipation (in),,
Feb,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min
1,47,40,33,29,26,23,82,-,38,16,-,0,30.04,-,29.84,-,0,-
2,45,39,32,27,20,14,64,-,28,16,-,0,30.19,-,30.01,-,0,-
3,33,30,26,11,9,4,46,-,31,17,-,0,30.25,-,30.09,-,0,-
4,34,28,22,8,5,2,47,-,28,16,-,5,30.4,-,30.23,-,0,-
5,43,37,31,22,17,8,52,-,36,16,-,4,30.24,-,29.83,-,0,-
6,49,43,36,34,24,16,70,-,31,13,-,0,30.15,-,29.93,-,0,-
7,42,39,36,38,36,33,100,-,70,15,-,0,29.99,-,29.6,-,0.27,-
8,62,50,38,47,38,29,100,-,46,13,-,0,29.73,-,29.53,-,0.03,-
9,44,32,19,30,21,0,100,-,41,23,-,7,30.08,-,29.53,-,1.16,-
10,32,26,19,19,10,4,56,-,36,16,-,4,30.23,-,30.09,-,0,-
11,48,39,30,28,24,18,69,-,38,13,-,0,30.1,-,29.88,-,0,-
12,40,35,30,34,30,25,100,-,64,17,-,0,30.12,-,29.59,-,0.46,-
13,39,35,31,34,23,16,92,-,47,28,-,5,29.98,-,29.58,-,0.02,-
14,41,35,28,29,21,17,64,-,48,13,-,0,29.99,-,29.73,-,0,-
15,47,41,35,33,30,24,82,-,53,18,-,0,29.69,-,29.3,-,0,-
16,35,32,28,24,16,13,64,-,43,17,-,6,29.79,-,29.46,-,0,-
17,41,34,26,15,15,13,63,-,19,16,-,5,29.91,-,29.8,-,0,-
18,63,49,35,33,25,14,48,-,30,16,-,0,29.89,-,29.66,-,0,-
19,65,59,53,36,32,28,43,-,26,14,-,0,29.98,-,29.67,-,0,-
20,55,47,39,33,22,10,58,-,18,18,-,0,30.36,-,30,-,0,-
21,47,41,34,32,23,8,67,-,27,14,-,0,30.39,-,30.12,-,0,-
22,57,50,42,42,37,33,71,-,47,12,-,0,30.09,-,29.88,-,0,-
23,65,55,44,52,47,40,86,-,63,13,-,0,29.93,-,29.8,-,0,-
24,70,64,58,56,53,50,84,-,53,14,-,0,29.95,-,29.85,-,0,-
25,63,54,44,57,51,34,100,-,76,20,-,0,29.87,-,29.48,-,0.54,-
26,44,40,36,32,18,13,67,-,30,18,-,5,30.27,-,29.7,-,0,-
27,54,45,35,30,22,16,52,-,26,16,-,0,30.43,-,30.29,-,0,-
28,59,53,47,51,43,30,96,-,50,10,-,0,30.39,-,29.99,-,0,-
