Time,Temperature (° F),,,Dew Point (° F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (Hg),,,Precipation (in),,
May,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min
1,51,48,45,46,42,32,93,-,50,13,-,0,30.24,-,30.09,-,0.16,-
2,60,53,45,52,47,42,93,-,72,9,-,0,30.07,-,29.89,-,0.04,-
3,56,54,51,53,50,48,96,-,83,14,-,0,29.94,-,29.81,-,0.61,-
4,52,50,48,48,45,41,89,-,71,17,-,0,29.84,-,29.72,-,0.01,-
5,57,52,46,43,42,41,86,-,57,15,-,5,29.74,-,29.63,-,0,-
6,54,51,48,48,46,42,89,-,71,18,-,0,29.82,-,29.66,-,0.54,-
7,60,54,48,48,47,46,93,-,67,14,-,0,29.84,-,29.73,-,0,-
8,66,58,49,52,42,25,86,-,22,20,-,0,29.94,-,29.64,-,0.16,-
9,72,62,52,40,35,29,48,-,25,18,-,0,30.12,-,29.93,-,0,-
10,63,57,50,43,30,22,61,-,23,13,-,0,30.27,-,30.15,-,0,-
11,76,63,50,46,39,32,74,-,22,10,-,0,30.19,-,30.09,-,0,-
12,80,68,56,50,42,31,75,-,21,12,-,0,30.16,-,30.01,-,0,-
13,65,62,58,63,55,49,100,-,72,0,-,0,0,-,0,-,0.25,-
14,73,65,56,60,53,43,100,-,65,0,-,0,0,-,0,-,0,-
15,57,52,46,46,34,28,54,-,42,0,-,0,0,-,0,-,0,-
16,66,55,43,33,27,23,36,-,26,9,-,4,30.16,-,30.07,-,0,-
17,64,58,52,48,40,33,72,-,40,6,-,0,30.18,-,30.12,-,0,-
18,58,56,54,48,39,34,66,-,47,5,-,0,30.13,-,30.11,-,0,-
19,73,64,54,45,41,38,62,-,31,10,-,0,30.14,-,30.06,-,0,-
20,76,65,53,41,39,36,59,-,25,12,-,0,30.26,-,30.15,-,0,-
21,66,60,54,52,43,38,86,-,37,12,-,0,30.2,-,29.9,-,0.04,-
22,70,61,52,52,48,41,89,-,37,10,-,0,29.9,-,29.81,-,0.09,-
23,78,67,56,53,50,43,86,-,39,9,-,0,29.94,-,29.86,-,0.02,-
24,73,66,58,58,53,48,93,-,47,9,-,0,29.99,-,29.86,-,0.18,-
25,88,75,61,51,47,41,72,-,20,10,-,0,30.08,-,30,-,0,-
26,90,80,69,55,49,41,49,-,24,10,-,0,30.11,-,30.03,-,0,-
27,87,80,73,64,61,52,64,-,43,13,-,0,30.06,-,30,-,0,-
28,92,82,71,66,63,58,66,-,44,12,-,0,30.12,-,30.06,-,0,-
29,87,79,70,65,59,54,79,-,37,13,-,0,30.14,-,30.05,-,0,-
30,82,75,68,69,68,66,100,-,67,12,-,0,30.08,-,29.92,-,1.65,-
31,85,78,71,67,64,59,84,-,44,12,-,0,29.98,-,29.91,-,0,-
