Time,Temperature (° F),,,Dew Point (° F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (Hg),,,Precipation (in),,
Sep,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min
1,71,63,55,47,40,33,60,-,26,10,-,4,30.18,-,30.02,-,0,-
2,68,61,54,57,50,40,100,-,43,10,-,0,30.25,-,30.09,-,0.53,-
3,69,64,59,63,60,57,100,-,68,12,-,0,30.12,-,29.85,-,0.74,-
4,80,71,61,60,57,55,84,-,45,12,-,0,29.99,-,29.86,-,0,-
5,85,77,69,69,65,60,84,-,55,15,-,0,29.84,-,29.72,-,0,-
6,72,67,61,67,62,58,93,-,68,14,-,0,29.93,-,29.81,-,0.42,-
7,71,65,59,61,56,49,100,-,51,14,-,0,30.02,-,29.82,-,0.01,-
8,71,65,58,52,50,48,75,-,47,13,-,0,30.19,-,30.03,-,0,-
9,70,63,55,50,48,46,77,-,44,12,-,0,30.3,-,30.19,-,0,-
10,72,65,57,52,49,44,80,-,42,15,-,0,30.37,-,30.3,-,0,-
11,76,66,55,51,48,44,83,-,33,9,-,0,30.36,-,30.13,-,0,-
12,78,69,59,59,55,52,84,-,39,8,-,0,30.12,-,29.92,-,0,-
13,83,74,64,69,63,56,93,-,45,9,-,0,29.94,-,29.87,-,0.06,-
14,81,76,70,70,67,63,97,-,58,10,-,0,29.94,-,29.84,-,0.02,-
15,81,74,67,68,64,62,87,-,60,8,-,0,30.09,-,29.95,-,0,-
16,82,76,70,69,68,67,97,-,58,9,-,0,30.19,-,30.09,-,0,-
17,81,75,68,68,66,63,97,-,54,8,-,0,30.2,-,30.1,-,0,-
18,73,71,68,67,66,64,90,-,79,13,-,0,30.16,-,30.08,-,0,-
19,78,74,69,68,65,62,90,-,58,21,-,5,30.07,-,29.86,-,0.22,-
20,79,75,71,65,64,63,79,-,60,15,-,4,29.94,-,29.81,-,0,-
21,80,76,71,64,63,60,79,-,51,13,-,0,30.02,-,29.94,-,0,-
22,82,74,66,59,52,48,61,-,40,14,-,0,30.02,-,29.94,-,0,-
23,87,78,68,57,53,45,61,-,23,12,-,0,30.06,-,29.98,-,0,-
24,91,80,69,64,62,56,78,-,41,9,-,0,30.08,-,30.01,-,0,-
25,88,79,70,67,65,63,84,-,48,9,-,0,30.08,-,30.01,-,0,-
26,84,76,68,67,66,64,90,-,55,8,-,0,30.09,-,29.96,-,0,-
27,87,78,69,73,69,66,94,-,61,12,-,0,29.96,-,29.75,-,0,-
28,79,69,59,73,57,43,94,-,32,15,-,0,29.97,-,29.72,-,0,-
29,68,62,55,46,44,40,72,-,42,9,-,0,30.07,-,29.99,-,0,-
30,66,60,54,50,48,46,77,-,52,17,-,0,30.37,-,30,-,0,-
